ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
5,Q16349907,5th Saeima,1993-07-06,11,,,1995-11-06,11,,,,,,,Q16349803,4th Saeima,Q16350006,6th Saeima
6,Q16350006,6th Saeima,1995-11-07,11,,,1998-11-01,11,,,,,,,Q16349907,5th Saeima,Q16350051,7th Saeima
7,Q16350051,7th Saeima,1998-11-02,11,,,2002-11-04,11,,,,,,,Q16350006,6th Saeima,Q16350102,8th Saeima
8,Q16350102,8th Saeima,2002-11-05,11,,,2006-11-06,11,,,,,,,Q16350051,7th Saeima,Q16350138,9th Saeima
9,Q16350138,9th Saeima,2006-11-07,11,2006-11-07,11,2010-11-01,11,2010-11-01,11,,,,,Q16350102,8th Saeima,Q16347625,10th Saeima
10,Q16347625,10th Saeima,2010-11-02,11,2010-11-02,11,2011-10-16,11,2011-10-16,11,,,Q13098708,11th Saeima,Q16350138,9th Saeima,Q13098708,11th Saeima
11,Q13098708,11th Saeima,2011-10-17,11,2011-10-17,11,2014-11-03,11,2014-11-03,11,Q16347625,10th Saeima,Q20557340,12th Saeima,Q16347625,10th Saeima,Q20557340,12th Saeima
12,Q20557340,12th Saeima,2014-11-04,11,2014-11-04,11,2018-11-06,11,,,Q13098708,11th Saeima,,,Q13098708,11th Saeima,Q107440317,Thirteenth Saeima of Latvia
13,Q107440317,Thirteenth Saeima of Latvia,2018-11-06,11,,,,,,,,,,,Q20557340,12th Saeima,,
